title,artist,album,releaseDate,albumCover,spotifyLink,intro,mood,theme,duree,type,tempo,annee
June - Live,Indochine,Alice & June Tour,2007,assets/covers/alice-junetour.jpg,https://open.spotify.com/track/3gLqvqDpek8gIhQ63XNKTQ?si=2833053915a34bd2,Moyenne,Triste,Autre,Longue,Live,Rythmée,2001-2024
Electrastar - Live,Indochine,Alice & June Tour,2007,assets/covers/alice-junetour.jpg,https://open.spotify.com/track/6iom5V5uzPINzXJTji0OP6?si=fbd8680fd9944fe8,Moyenne,Triste,Autre,Longue,Live,Rythmée,2001-2024
Electrastar,Indochine,Black City Concerts,2015,assets/covers/bcc.jpg,https://open.spotify.com/track/0uxgFUHfLsZwBRcB42Lj6H?si=b351d8e09cdb4947,Moyenne,Triste,Autre,Longue,Live,Rythmée,2001-2024
Traffic Girl,Indochine,Black City Concerts,2015,assets/covers/bcc.jpg,https://open.spotify.com/track/5iWiMRKBtlcDSHpbHP1tzS?si=4919f96f9f494dfb,Moyenne,Triste,Autre,Longue,Live,Rythmée,2001-2024
Memoria,Indochine,Black City Concerts,2015,assets/covers/bcc.jpg,https://open.spotify.com/track/65ykVUplooLqFdGyhwkxY1?si=f62e063ad6464f15,Longue,Triste,Amour,Longue,Live,Calme,2001-2024
Le grand secret,Indochine,Black City Concerts,2015,assets/covers/bcc.jpg,https://open.spotify.com/track/18D8HjKiyz7kRxP63Tr7rw?si=4501a9f2639a4176,Moyenne,Triste,Amour,Moyenne,Live,Calme,2001-2024
Tes yeux noirs,Indochine,Black City Concerts,2015,assets/covers/bcc.jpg,https://open.spotify.com/track/4yiY67mYVKPqsY2DHC6twD?si=3c3e1b429d9c4d8c,Moyenne,Joyeuse,Amour,Longue,Live,Calme,2001-2024
College Boy,Indochine,Black City Concerts,2015,assets/covers/bcc.jpg,https://open.spotify.com/track/6pBCuOmuCEP0vl6yKsYb9z?si=989067918de2442a,Moyenne,Triste,Autre,Longue,Live,Calme,2001-2024
Black City Parade,Indochine,Black City Concerts,2015,assets/covers/bcc.jpg,https://open.spotify.com/track/2Km3RX66JDRAwEYG59AdNm?si=bb1122a027dc43f8,Longue,Neutre,Sexe,Longue,Live,Rythmée,2001-2024
Le fond de l'air est rouge,Indochine,Black City Concerts,2015,assets/covers/bcc.jpg,https://open.spotify.com/track/7p1AyUPVR88a18PQIxW9iN?si=97ed69942af84fd3,Courte,Neutre,Autre,Longue,Live,Rythmée,2001-2024
Wuppertal,Indochine,Black City Concerts,2015,assets/covers/bcc.jpg,https://open.spotify.com/track/2wocwq0cZBmvIDyyh9uv6z?si=c9264b37c940430e,Longue,Triste,Amour,Longue,Live,Calme,2001-2024
Trois nuits par semaine,Indochine,Black City Concerts,2015,assets/covers/bcc.jpg,https://open.spotify.com/track/2MP7JDndfdcIv40nWq50j4?si=56ea6377c53d4fa7,Longue,Joyeuse,Sexe,Longue,Live,Rythmée,2001-2024
Dunkerque,Indochine,Black City Concerts,2015,assets/covers/bcc.jpg,https://open.spotify.com/track/3soWs74585PWIuTXWuOfq0?si=c3ce5cb10fa343a2,Moyenne,Neutre,Amour,Longue,Live,Rythmée,2001-2024
L'aventurier,Indochine,Black City Concerts,2015,assets/covers/bcc.jpg,https://open.spotify.com/track/0EQawlks7jG5WxJ1zLpbE4?si=2256c6de716d4355,Longue,Joyeuse,Autre,Longue,Live,Rythmée,2001-2024
Marilyn,Indochine,Putain de Stade,2011,assets/covers/ptnstade.jpg,https://open.spotify.com/track/7A59gduE5iLbKAkOx5YEKe?si=4619179ed9244274,Longue,Joyeuse,Amour,Longue,Live,Rythmée,2001-2024
Little Dolls,Indochine,Putain de Stade,2011,assets/covers/ptnstade.jpg,https://open.spotify.com/track/6aAgDUotcfCAGqeZJVdKTj?si=005f209a850d4a17,Moyenne,Neutre,Guerre,Longue,Live,Rythmée,2001-2024
Play Boy,Indochine,Putain de Stade,2011,assets/covers/ptnstade.jpg,https://open.spotify.com/track/7KuG6q6Kimlk2tBCYRVRB5?si=3f433480e6c54dfa,Moyenne,Joyeuse,Sexe,Standard,Live,Rythmée,2001-2024
Drugstar,Indochine,Putain de Stade,2011,assets/covers/ptnstade.jpg,https://open.spotify.com/track/0ArcKD7i0zhtWUqXFiKDja?si=d5566c4e2b5742fa,Longue,Joyeuse,Sexe,Moyenne,Live,Rythmée,2001-2024
J'ai demandé à la lune,Indochine,Putain de Stade,2011,assets/covers/ptnstade.jpg,https://open.spotify.com/track/23J7ht2qsLrRbces7hUMoo?si=ab0c7dbb69c543c8,Moyenne,Triste,Autre,Longue,Live,Calme,2001-2024
Un ange à ma table,Indochine & Suzanne Combo,Putain de Stade,2011,assets/covers/ptnstade.jpg,https://open.spotify.com/track/3qXAQyDZIyEUvcnW0rAv9S?si=3ab3b7d5f2fc4eea,Longue,Neutre,Amour,Longue,Live,Rythmée,2001-2024
Le grand soir,Indochine,Putain de Stade,2011,assets/covers/ptnstade.jpg,https://open.spotify.com/track/3M0H2viBDH5sl8uWEZyCRq?si=f7c264d9a3a948ab,Courte,Triste,Guerre,Standard,Live,Calme,2001-2024
Salômbo,Indochine,Putain de Stade,2011,assets/covers/ptnstade.jpg,https://open.spotify.com/track/56PvKiYrngatOTXrJtOiP6?si=3e1795aede6646e8,Longue,Triste,Autre,Standard,Live,Calme,2001-2024
Kao-Bang,Indochine,Putain de Stade,2011,assets/covers/ptnstade.jpg,https://open.spotify.com/track/5o69CcRJnHEEcvPk21ANib?si=59dae015c3814950,Moyenne,Joyeuse,Autre,Standard,Live,Calme,2001-2024
Electrastar,Indochine,Putain de Stade,2011,assets/covers/ptnstade.jpg,https://open.spotify.com/track/2mlbcJR1t95pBHqth67gpD?si=0c77f2aabf60490e,Moyenne,Triste,Autre,Moyenne,Live,Calme,2001-2024
La lettre de métal,Indochine,Putain de Stade,2011,assets/covers/ptnstade.jpg,https://open.spotify.com/track/4MBBsPWzss4WGspjVWnpod?si=ca7891153cf94323,Courte,Triste,Guerre,Moyenne,Live,Calme,2001-2024
Le dernier jour,Indochine,Putain de Stade,2011,assets/covers/ptnstade.jpg,https://open.spotify.com/track/3F8Koswqx3K036gRIEpzml?si=e10c54036ba441ec,Moyenne,Neutre,Guerre,Longue,Live,Rythmée,2001-2024
Nos Célébrations,Indochine,Central Tour,2023,assets/covers/central.jpg,https://open.spotify.com/track/48g7YkFJ3mZWJ8NUhaO96Q?si=69c587e4a9b74852,Longue,Joyeuse,Autre,Longue,Studio,Rythmée,2001-2024
Station 13,Indochine,Central Tour,2023,assets/covers/central.jpg,https://open.spotify.com/track/05biPeak7hTTThzCP1sI7f?si=0d79bbe9d2154cbb,Moyenne,Triste,Autre,Longue,Studio,Rythmée,2001-2024
